Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
QB,"0.9982 (#1 QB), #4 OVR","99 (#1 QB), #3 OVR",Played out eligibility,2018 (Harbaugh),2015-> (Harbaugh),"89 (#1 DUAL), #15 OVR",6'2/192,2019,Shea Patterson,Not Drafted,Not Drafted,"5* (#1 QB), #5 OVR",Former players,Former players,Offense,"6.1 (#1 DUAL), #3 OVR",True,QB,1,4.94
QB,"0.9978 (#2 PRO), #5 OVR",-,Transfer: Coach,2007 (Carr),1995-'07 (Carr),"90 (#2 QB), #12 OVR",6'7/220,2007,Ryan Mallett,1st Day (Rnd 1-3),3rd,"5* (#2 QB), #5 OVR",Former players,Former players,Offense,"6.1 (#2 PRO), #4 OVR",True,QB,2,4.94
QB,"0.9924 (#3 PRO), #18 OVR",-,Played out eligibility,2004 (Carr),1995-'07 (Carr),"Lemming: #3 QB, #7 OVR",6'2/210,2007,Chad Henne,1st Day (Rnd 1-3),2nd,"5* (#4 QB), #27 OVR",Former players,Former players,Offense,"6.1 (#3 PRO), #13 OVR",True,QB,3,4.86
QB,-,"Prepstar: #3 QB, #1 MW",Professional Baseball,1998 (Carr),1995-'07 (Carr),"Lemming: #1 PRO, #3 OVR",6'4/220,2000,Drew Henson,2nd Day (Rnd 4-7),6th,"Superprep: #3 QB, #10 OVR",Former players,Former players,Offense,"6.0 (#3 DUAL), #24 OVR",True,QB,4,4.82
QB,"0.9866 (#5 QB), #25 OVR","97 (#6 QB), #38 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"88 (#2 DUAL), #25 OVR",6'3/180,On Team,J.J. McCarthy,Still in College,2025,-,Current players,Current players,Offense,"6.0 (#5 PRO), #45 OVR",True,QB,5,4.73
QB,"0.9656 (#2 DUAL), #70 OVR","96 (#1 DUAL), #44 OVR",Played out eligibility,2010 (Rodriguez),2008-'10 (Rodriguez),"82 (#5 DUAL), #128 OVR",6'4/195,2014,Devin Gardner,UDFA,UDFA,"5* (#5 QB), #43 OVR",Former players,Former players,Offense,"6.1 (#1 DUAL), #3 OVR",True,QB,6,4.68
QB,-,"Athlon's: #32 OVR, #9 Big Ten",Degree and a Handshake,1996 (Carr),1995-'07 (Carr),"Lemming: #2 PRO, #4 MW",6'6/220,1999,Jason Kapsner,Not Drafted,Not Drafted,"Superprep: #7 QB, #6 MW (AA)",Former players,Former players,Offense,All-Am (#2 PRO),True,QB,7,4.63
QB,"0.9674 (#3 PRO), #72 OVR","95 (#4 PRO), #81 OVR",Degree and a Transfer,2013 (Hoke),2011-'14 (Hoke),"84 (#8 QB), #127 OVR",6'3/201,2016,Shane Morris,Not Drafted,Not Drafted,"5* (#3 QB), #40 OVR",Former players,Former players,Offense,"6.0 (#4 PRO), #81 OVR",True,QB,8,4.62
QB,"0.9668 (#6 PRO), #63 OVR","96 (#4 PRO), #34 OVR",Degree and a Transfer,2016 (Harbaugh),2015-> (Harbaugh),"85 (#3 PRO), #60 OVR",6'5/209,2018,Brandon Peters,Still in College,2022,"4* (#4 QB), #77 OVR",Former players,Former players,Offense,"5.9 (#6 PRO), #158 OVR",True,QB,9,4.62
QB,"0.9637 (#5 PRO), #90 OVR",-,Transfer: playing time,2002 (Carr),1995-'07 (Carr),Lemming: #26 OVR,6'4/210,2005,Matt Gutierrez,UDFA,UDFA,4* (#12 QB),Former players,Former players,Offense,"5.9 (#5 PRO), #96 OVR",True,QB,10,4.57
QB,"0.9359 (#7 PRO), #104 OVR",-,Professional Baseball,2003 (Carr),1995-'07 (Carr),"Lemming: #5 PRO, #22 OVR",6'4/225,2003,Clayton Richard,Not Drafted,MLB,4* (#13 QB),Former players,Former players,Offense,"5.9 (#4 PRO), #71 OVR",True,QB,11,4.51
QB,"0.9416 (#5 PRO), #123 OVR","92 (#6 PRO), #204 OVR",Transfer: Personal,2017 (Harbaugh),2015-> (Harbaugh),"83 (#6 PRO), #117 OVR",6'5/196,2019,Dylan McCaffrey,Still in College,2023,"4* (#9 QB), #134 OVR",Former players,Former players,Offense,"5.9 (#7 DUAL), #131 OVR",True,QB,12,4.35
QB,"0.944 (#4 DUAL), #120 OVR",-,Behavioral: dismissed,2009 (Rodriguez),2008-'10 (Rodriguez),"83 (#14 QB), #144 OVR",6'1/184,2010,Tate Forcier,Not Drafted,Not Drafted,"4* (#15 QB), #137 OVR",Former players,Former players,Offense,"5.9 (#5 DUAL), #164 OVR",True,QB,13,4.35
QB,-,-,Transfer: Coach,1992 (Moeller),1990-'94 (Moeller),Lemming: #6 PRO,6'4/205,1992,Eric Boykin,Not Drafted,Not Drafted,Superprep: #12 QB,Former players,Former players,Offense,-,True,QB,14,4.34
QB,"0.9427 (#9 ATH), #121 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"83 (#7 ATH), #101 OVR",6'0/179,2012,Denard Robinson,2nd Day (Rnd 4-7),5th,"4* (#16 CB), #159 OVR",Former players,Former players,Offense,"5.8 (#14 ATH), #188 OVR",True,QB,15,4.32
QB,-,-,Played out eligibility,1990 (Moeller),1990-'94 (Moeller),Lemming: #8 PRO,6'4/210,1994,Todd Collins,1st Day (Rnd 1-3),2nd,-,Former players,Former players,Offense,-,True,QB,16,4.24
QB,-,"BlueChip Illustrated: #16 QB, All American",Degree and a Handshake,1993 (Moeller),1990-'94 (Moeller),"Lemming: #4 PRO, #12 MW",6'4/210,1996,Scot Loeffler,Not Drafted,Not Drafted,"Superprep:, All-American",Former players,Former players,Offense,-,True,QB,17,4.2
QB,"0.9052 (#7 PRO), #268 OVR","90 (#8 PRO), #375 OVR",On Team,2019 (Harbaugh),2015-> (Harbaugh),"81 (#12 PRO), #253 OVR",6'1/187,On Team,Cade McNamara,Still in College,2025,-,Current players,Current players,Offense,"5.8 (#8 PRO), #1 NV",True,QB,18,4.12
QB,"0.9202 (#9 PRO), #204 OVR","88 (#14 PRO), #402 OVR",Degree and a Transfer,2018 (Harbaugh),2015-> (Harbaugh),"84 (#7 DUAL), #119 OVR",6'5/230,2020,Joe Milton,Still in College,2024,"3* (#11 PRO), #268 OVR",Former players,Former players,Offense,"5.8 (#11 DUAL), #200 OVR",True,QB,19,4.1
QB,"0.8984 (#13 PRO), #295 OVR","88 (#15 PRO), not ranked",Degree and a Transfer,2015 (Harbaugh),2015-> (Harbaugh),"80 (#16 PRO), #23 MW",6'2/200,2017,Alex Malzone,Not Drafted,Not Drafted,"4* (#14 QB), #185 OVR",Former players,Former players,Offense,"5.8 (#11 PRO), #3 MI",True,QB,20,4.08
QB,-,-,Professional Baseball,1990 (Moeller),1990-'94 (Moeller),Lemming: #17 OLB,6'5/240,1992,Nate Holdren,Not Drafted,MLB,-,Former players,Former players,Offense,-,True,QB,21,4.07
QB,-,-,Played out eligibility,1999 (Carr),1995-'07 (Carr),"Lemming:
 #5 PRO",6'6/220,2003,John Navarre,2nd Day (Rnd 4-7),7th,-,Former players,Former players,Offense,2* (#33 QB),True,QB,22,4.04
QB,-,-,Played out eligibility,2001 (Carr),1995-'07 (Carr),"Lemming:, All-West",6'5/220,2004,Spencer Brinton,Not Drafted,Not Drafted,Superprep: #38 Far West,Former players,Former players,Offense,5.8 (#10 PRO),True,QB,23,4.03
QB,-,-,Played out eligibility,1993 (Moeller),1990-'94 (Moeller),"Lemming:#15 PRO, #79 SE",6'3/215,1997,Brian Griese,1st Day (Rnd 1-3),3rd,Superprep: #36 FL,Former players,Former players,Offense,-,True,QB,24,3.99
QB,"0.8556 (#9 DUAL), #328 OVR",-,Transfer: playing time,2005 (Carr),1995-'07 (Carr),-,6'2/205,2006,Jason Forcier,Not Drafted,Not Drafted,4* (#8 QB),Former players,Former players,Offense,"5.6 (#15 DUAL), #48 CA",True,QB,25,3.9
QB,"0.8791 (#12 QB), #311 OVR",-,Transfer: playing time,2007 (Carr),1995-'07 (Carr),"73 (#64 QB), #NR MW",6'6/225,2008,Steven Threet,Not Drafted,Not Drafted,4* (#13 QB),Former players,Former players,Offense,"5.8 (#9 PRO), #170 OVR",True,QB,26,3.88
QB,"0.8830 (#30 QB), #454 OVR","89 (#19 QB), #37 CA",On Team,2022 (Harbaugh),2015-> (Harbaugh),"79 (#21 PRO), #71 West",6'4/215,0,Jayden Denegal,Still in High School,2026,"3* , 88, #NR Ovr
 #28 QB, #32 CA",Class of 2022,Commits,Offense,"5.7 (#24 PRO), #39 CA",True,QB,27,3.86
QB,"0.8854 (#28 QB), #424 OVR","86 (#47 QB), #113 TX",On Team,2022 (Harbaugh),2015-> (Harbaugh),"81 (#17 ATH), #244 OVR",6'2/226,0,Alex Orji,Still in High School,2026,"3* , 89, #NR Ovr
 #15 ATH, #70 TX",Class of 2022,Commits,Offense,"5.7 (#9 DUAL), #56 TX",True,QB,28,3.85
QB,-,"BCI: #6 QB West, All American",Played out eligibility,1995 (Carr),1995-'07 (Carr),"Lemming:
 #6 PRO, #26 West (AA)",6'5/210,1999,Tom Brady,2nd Day (Rnd 4-7),6th,Superprep: #65 Far West,Former players,Former players,Offense,5.7 (#10 PRO),True,QB,29,3.84
QB,"0.8728 (#22 PRO), #451 OVR","88 (#23 PRO), not ranked",Degree and a Transfer,2014 (Hoke),2011-'14 (Hoke),"82 (#13 PRO), #257 OVR",6'6/220,2017,Wilton Speight,UDFA,UDFA,3* (#30 QB),Former players,Former players,Offense,"5.7 (#17 PRO), #16 VA",True,QB,30,3.84
QB,-,BCI: 2nd tm AA,Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming: #12 PRO, #28 MW",6'4/200,1998,Scott Dreisbach,Not Drafted,Not Drafted,"Superprep: #16 QB, #26 MW",Former players,Former players,Offense,5.6 (#NR QB),True,QB,31,3.82
QB,"0.8778 (#24 ATH), #429 OVR",-,Behavioral: dismissed,2008 (Rodriguez),2008-'10 (Rodriguez),"NR (#NR ATH), #NR SE",6'0/190,2008,Justin Feagin,Not Drafted,Not Drafted,2* (#93 S),Former players,Former players,Offense,"5.7 (#41 ATH), #71 FL",True,QB,32,3.7
QB,"0.856 (#25 QB), #653 OVR","86 (#22 QB), #687 OVR",Played out eligibility,2015 (Harbaugh),2015-> (Harbaugh),"78 (#24 QB), #187 SE",6'3/180,2015,Jake Rudock,2nd Day (Rnd 4-7),6th,3* (#29 QB),Former players,Former players,Offense,5.6 (#29 PRO),True,QB,33,3.69
QB,"0.8594 (#31 PRO), #633 OVR","88 (#24 PRO), not ranked",Played out eligibility,2015 (Harbaugh),2015-> (Harbaugh),"77 (#38 QB), #343 SE",6'4/210,2017,John O'Korn,Not Drafted,Not Drafted,3* (#38 QB),Former players,Former players,Offense,"5.7 (#31 PRO), #94 FL",True,QB,34,3.65
QB,-,-,Transfer: playing time,1991 (Moeller),1990-'94 (Moeller),Lemming: #27 PRO,6'3/215,1991,Craig Randall,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,QB,35,3.6
QB,"0.8568 (#37 PRO), #899 OVR","84 (#41 PRO), #146 TX",On Team,2021 (Harbaugh),2015-> (Harbaugh),"78 (#36 PRO), #117 Midlands",6'4/208,On Team,Alan Bowman,Still in College,2024,not rated,Current players,Current players,Offense,"5.6 (#29 QB), #97 TX",True,QB,36,3.59
QB,"0.85 (#29 PRO), #743 OVR",-,Degree and a Handshake,2011 (Hoke),2011-'14 (Hoke),"78 (#35 QB), #108 Midlands",6'3/185,2014,Russell Bellomy,Not Drafted,Not Drafted,3* (#39 QB),Former players,Former players,Offense,5.5 (#NR DUAL),True,QB,37,3.58
QB,"0.8354 (#30 PRO), #726 OVR",-,Degree and a Handshake,2006 (Carr),1995-'07 (Carr),"72 (#85 QB), #308 SE",6'7/201,2009,David Cone,Not Drafted,Not Drafted,3* (#23 QB),Former players,Former players,Offense,5.5 (#33 PRO),True,QB,38,3.54
QB,-,"85 (#40 PRO), #1241 OVR",Transfer: playing time,2020 (Harbaugh),2015-> (Harbaugh),"75 (#45 PRO), #147 East",6'4/215,2021,Dan Villari,Still in High School,2026,-,Former players,Former players,Offense,5.5 (#NR DUAL),True,QB,39,3.32
QB,"0.8144 (#101 ATH), not ranked",-,Behaviorial: DNQ,2010 (Rodriguez),2008-'10 (Rodriguez),"77 (#93 ATH), #NR SE",6'2/197,2010,Conelius Jones,Not Drafted,Not Drafted,3* (#60 QB),Former players,Former players,Offense,"5.6 (#NR ATH), #23 SC",True,QB,40,3.08
RB,-,-,Played out eligibility,1990 (Moeller),1990-'94 (Moeller),"Lemming:#1 RB, #1 OVR",6'0/205,1993,Ricky Powers,UDFA,UDFA,-,Former players,Former players,Offense,-,True,RB,1,4.97
RB,-,"Prepstar: #1 RB, #1 West",Transfer: Personal,1998 (Carr),1995-'07 (Carr),"Lemming: #1 RB, #10 OVR",6'1/185,2000,Justin Fargas,1st Day (Rnd 1-3),3rd,"Superprep: #1 RB, #9 OVR",Former players,Former players,Offense,"6.1 (#1 RB), #9 OVR",True,RB,2,4.95
RB,"0.9944 (#3 RB), #12 OVR","NRA: #3 RB, #24 OVR",Behavioral: dismissed,2001 (Carr),1995-'07 (Carr),"Lemming: #3 RB, #16 OVR",6'0/190,2001,Kelly Baraka,Not Drafted,Not Drafted,"Superprep: #3 RB, #19 OVR",Former players,Former players,Offense,"5* (#3 RB), #24 OVR",True,RB,3,4.87
RB,"0.9914 (#4 RB), #21 OVR",-,Played out eligibility,2005 (Carr),1995-'07 (Carr),"Lemming: #3 RB, #7 OVR",5'9/225,2009,Kevin Grady,Not Drafted,Not Drafted,"5* (#5 RB), #23 OVR",Former players,Former players,Offense,"6.1 (#4 RB), #22 OVR",True,RB,4,4.86
RB,"0.9867 (#5 RB), #27 OVR","95 (#8 RB), #84 OVR",Degree and a Transfer,2013 (Hoke),2011-'14 (Hoke),"87 (#5 RB), #38 OVR",6'0/220,2015,Derrick Green,Not Drafted,Not Drafted,"5* (#1 RB), #6 OVR",Former players,Former players,Offense,"6.1 (#1 RB), #8 OVR",True,RB,5,4.81
RB,"0.9806 (#4 RB), #42 OVR","98 (#2 RB), #33 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"86 (#4 RB), #68 OVR",6'0/190,On Team,Donovan Edwards,Still in College,2025,-,Current players,Current players,Offense,"6.0 (#3 RB), #59 OVR",True,RB,6,4.76
RB,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),"Lemming:#6 RB, #26 OVR",6'1/215,1994,Tyrone Wheatley,1st Day (Rnd 1-3),1st,-,Former players,Former players,Offense,-,True,RB,7,4.75
RB,"0.976 (#4 RB), #46 OVR","97 (#4 RB), #38 OVR",Transfer: playing time,2019 (Harbaugh),2015-> (Harbaugh),"84 (#5 RB), #101 OVR",6'1/215,2020,Zach Charbonnet,Still in College,2024,-,Former players,Former players,Offense,"6.0 (#4 RB), #60 OVR",True,RB,8,4.68
RB,"0.9786 (#1 RB), #39 OVR","94 (#2 RB), #118 OVR",Transfer: playing time,2016 (Harbaugh),2015-> (Harbaugh),"85 (#3 RB), #45 OVR",6'1/210,2017,Kareem Walker,Still in College,2022,"5* (#3 RB), #28 OVR",Former players,Former players,Offense,"5.8 (#6 RB), #181 OVR",True,RB,9,4.64
RB,"0.9732 (#8 APB), #54 OVR","95 (#5 APB), #85 OVR",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"84 (#13 ATH), #122 OVR",6'3/215,2017,Ty Isaac,Not Drafted,Not Drafted,"5* (#7 RB), #37 OVR",Former players,Former players,Offense,"6.1 (#4 RB), #27 OVR",True,RB,10,4.61
RB,-,-,Degree/Gave up football,1990 (Moeller),1990-'94 (Moeller),McCabe's: #2 Michigan,5'9/200,1993,Jesse Johnson,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,RB,11,4.58
RB,-,-,Played out eligibility,1997 (Carr),1995-'07 (Carr),"Lemming: #2 RB, #13 OVR, #4 SE",6'2/220,2000,Anthony Thomas,1st Day (Rnd 1-3),2nd,Superprep: #12 LA,Former players,Former players,Offense,6.1 (#2 RB),True,RB,12,4.56
RB,"0.9827 (#10 RB), #34 OVR","Lemming: #14 RB, # - OVR",Played out eligibility,2006 (Carr),1995-'07 (Carr),"85 (#10 RB), #59 OVR",6'0/205,2009,Carlos Brown,Not Drafted,Not Drafted,4* (#24 RB),Former players,Former players,Offense,"6.0 (#5 RB), #39 OVR",True,RB,13,4.56
RB,-,-,Transfer: playing time,1997 (Carr),1995-'07 (Carr),"Lemming: #7 CB, #55 OVR, #7 West",5'10/185,1998,Patrick McCall,Not Drafted,Not Drafted,"Superprep: #8 RB, #9 West",Former players,Former players,Offense,5.9 (#n/a RB),True,RB,14,4.52
RB,-,"BlueChip Illustrated: #2 RB, #9 OVR",Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming:#10 RB, #16 Southwest, All American",5'11/210,1997,Chris Howard,2nd Day (Rnd 4-7),5th,"Superprep: #13 RB, #7 LA (AA)",Former players,Former players,Offense,5.9 (#7 RB),True,RB,15,4.48
RB,-,"BCI: #2 RB Midwest, All American",Played out eligibility,1995 (Carr),1995-'07 (Carr),"Lemming: #34 RB, #10 MW",5'9/178,1998,Clarence Williams,UDFA,UDFA,"Superprep: #4 RB, #2 MW (AA)",Former players,Former players,Offense,5.8 (#8 RB),True,RB,16,4.43
RB,"0.9458 (#12 RB), #119 OVR","90 (#20 RB), #244 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"84 (#13 RB), #120 OVR",5'8/180,On Team,Blake Corum,Still in College,2025,-,Current players,Current players,Offense,"6.0 (#8 RB), #67 OVR",True,RB,17,4.37
RB,"0.9406 (#6 APB), #115 OVR","93 (#6 APB), #149 OVR",Degree and a Transfer,2011 (Hoke),2011-'14 (Hoke),"79 (#22 RB), #21 MW",5'10/180,2014,Justice Hayes,Not Drafted,Not Drafted,"4* (#14 RB), #131 OVR",Former players,Former players,Offense,"5.9 (#3 APB), #85 OVR",True,RB,18,4.3
RB,"0.9687 (#18 RB), #97 OVR",-,Played out eligibility,2001 (Carr),1995-'07 (Carr),"Lemming: #2 FB, #69 OVR",6'0/220,2004,David Underwood,Not Drafted,Not Drafted,"Superprep: #26 RB, #26 TX",Former players,Former players,Offense,4* (#18 RB),True,RB,19,4.29
RB,National Bluechips:#14 RB,-,Played out eligibility,2000 (Carr),1995-'07 (Carr),Lemming: #29 Mid-Atl,6'1/215,2003,Chris Perry,1st Day (Rnd 1-3),1st,"Superprep: #16 RB, #16 NC",Former players,Former players,Offense,4* (#13 RB),True,RB,20,4.2
RB,"0.9188 (#17 RB), #184 OVR",-,Transfer: Personal,2008 (Rodriguez),2008-'10 (Rodriguez),"79 (#30 RB), #NR Midlands",5'11/188,2008,Sam McGuffie,Not Drafted,Not Drafted,"4* (#7 RB), #63 OVR",Former players,Former players,Offense,"5.8 (#10 APB), #38 TX",True,RB,21,4.18
RB,"0.9 (#13 RB), #180 OVR",-,Transfer: playing time,2004 (Carr),1995-'07 (Carr),"Lemming: #14 RB, #73 OVR",6'1/210,2005,Max Martin,Not Drafted,Not Drafted,4* (#14 RB),Former players,Former players,Offense,5.8 (#15 RB),True,RB,22,4.17
RB,-,-,Behaviorial: DNQ,2000 (Carr),1995-'07 (Carr),Lemming: #43,6'0/202,2000,Reggie Benton,Not Drafted,Not Drafted,"Superprep: #2 RB, #47 OVR",Former players,Former players,Offense,3* (#35 RB),True,RB,23,4.11
RB,"0.8778 (#6 APB), #277 OVR",-,Played out eligibility,2004 (Carr),1995-'07 (Carr),Lemming: #6 CB,5'9/175,2007,Mike Hart,2nd Day (Rnd 4-7),6th,3* (#18 RB),Former players,Former players,Offense,"5.7 (#6 APB), #2 NY",True,RB,24,4.11
RB,"0.9156 (#19 RB), #196 OVR",-,Played out eligibility,2008 (Rodriguez),2008-'10 (Rodriguez),"78 (#59 RB), #NR MW",6'1/185,2011,Michael Shaw,Not Drafted,Not Drafted,"4* (#29 RB), #219 OVR",Former players,Former players,Offense,"5.9 (#7 RB), #102 OVR",True,RB,25,4.1
RB,"0.9151 (#21 RB), #207 OVR","91 (#15 RB), #217 OVR",Played out eligibility,2013 (Hoke),2011-'14 (Hoke),"81 (#27 RB), #39 MW",5'11/216,2016,De'Veon Smith,UDFA,UDFA,"4* (#11 RB), #62 OVR",Former players,Former players,Offense,"5.7 (#37 RB), #26 OH",True,RB,26,4.08
RB,"0.8875 (#4 RB), #244 OVR","Lemming: #11 RB, # - OVR",Played out eligibility,2006 (Carr),1995-'07 (Carr),"78 (#34 RB), #NR East",6'1/213,2009,Brandon Minor,Not Drafted,Not Drafted,4* (#29 RB),Former players,Former players,Offense,"5.8 (#1 FB), #109 OVR",True,RB,27,4
RB,"0.8985 (#21 RB), #277 OVR","89 (#22 RB), #363 OVR",Behavioral: dismissed,2017 (Harbaugh),2015-> (Harbaugh),"81 (#22 RB), #240 OVR",5'10/190,2018,O'Maury Samuels,Still in College,2022,4* (#21 RB),Former players,Former players,Offense,5.8 (#21 RB),True,RB,28,3.99
RB,"0.9 (#12 RB), #133 OVR",-,Played out eligibility,2003 (Carr),1995-'07 (Carr),Lemming: #24 RB,5'11/195,2006,Jerome Jackson,Not Drafted,Not Drafted,4* (#20 RB),Former players,Former players,Offense,"5.8 (#15 RB), #7 MI",True,RB,29,3.97
RB,-,"BCI: #7 WR (Midwest?), All American",Transfer: playing time,1995 (Carr),1995-'07 (Carr),"Lemming: #17 CB, #28 MW",5'8/180,1997,J.R. Ford,Not Drafted,Not Drafted,Superprep: #42 MW,Former players,Former players,Offense,-,True,RB,30,3.93
RB,-,-,Transfer: playing time,1990 (Moeller),1990-'94 (Moeller),Lemming: #21 RB,6'0/185,1990,Juan Kemp,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,RB,31,3.93
RB,-,BCI: 2nd tm AA,Transfer: playing time,1993 (Moeller),1990-'94 (Moeller),"Lemming: #26 RB, #81 MW",6'1/190,1993,Dana Overton,Not Drafted,Not Drafted,"Superprep: #19 RB, #14 MW (AA)",Former players,Former players,Offense,-,True,RB,32,3.92
