Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
RB,"0.8913 (#8 APB), #327 OVR","90 (#5 APB), #298 OVR",(Played out eligibility-COVID),2016 (Harbaugh),2015-> (Harbaugh),"76 (#69 RB), #82 MW",5'11/186,2020,Chris Evans,2nd Day (Rnd 4-7),6th,"4* (#12 RB), #190 OVR",Former players,Former players,Offense,"5.7 (#32 ATH), #6 IN",True,RB,33,3.9
RB,"0.8928 (#1 SF), #304 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"79 (#28 RB), #NR MW",5'10/185,2013,Fitzgerald Toussaint,UDFA but NFL player,UDFA+,3* (#49 RB),Former players,Former players,Offense,"5.8 (#8 APB), #239 OVR",True,RB,34,3.9
RB,-,Prepstar: #1 RB ACC Region,Played out eligibility,1998 (Carr),1995-'07 (Carr),Lemming: #7 FB,5'11/200,2001,Walter Cross,Not Drafted,Not Drafted,"Superprep: #11 RB, #3 MidAtl",Former players,Former players,Offense,-,True,RB,35,3.88
RB,"0.8860 (#26 RB), #408 OVR","91 (#15 RB), #237 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"78 (#36 RB), #117 Midlands",6'0/195,On Team,Tavierre Dunlap,Still in High School,2026,-,Current players,Current players,Offense,"5.7 (#29 RB), #78 TX",True,RB,36,3.85
RB,"0.8778 (#24 RB), #301 OVR",-,Transfer: playing time,2005 (Carr),1995-'07 (Carr),-,6'0/195,2006,Mister Simpson,Not Drafted,Not Drafted,3* (#53 RB),Former players,Former players,Offense,"5.7 (#20 RB), #16 OH",True,RB,37,3.8
RB,"0.8822 (#36 RB), #379 OVR",-,Degree and a Transfer,2008 (Rodriguez),2008-'10 (Rodriguez),"77 (#71 RB), #NR East",6'0/203,2011,Mike Cox,2nd Day (Rnd 4-7),7th,"4* (#35 RB), #263 OVR",Former players,Former players,Offense,5.7 (#NR RB),True,RB,38,3.76
RB,"0.8784 (#22 RB), #509 OVR","87 (#34 RB), #638 OVR",Transfer: playing time,2018 (Harbaugh),2015-> (Harbaugh),"80 (#21 RB), #168 SE",5'11/187,2020,Christian Turner,Still in College,2024,"3* (#41 RB), #819 OVR",Former players,Former players,Offense,"5.7 (#18 RB), #47 GA",True,RB,39,3.74
RB,-,-,Behavioral: dismissed,1999 (Carr),1995-'07 (Carr),Lemming: #10 WB,5'9/204,2000,Ryan Beard,Not Drafted,Not Drafted,-,Former players,Former players,Offense,3* (#40 RB),True,RB,40,3.72
RB,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #34 RB,5'9/190,1995,Ed Davis,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,RB,41,3.71
RB,"0.8764 (#46 RB), #469 OVR",-,Degree/Medical,2009 (Rodriguez),2008-'10 (Rodriguez),"78 (#48 RB), #NR MW",5'9/186,2010,Teric Jones,Not Drafted,Not Drafted,3* (#44 RB),Former players,Former players,Offense,"5.7 (#37 RB), #12 MI",True,RB,42,3.7
RB,"0.8733 (#49 RB), #508 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"77 (#60 RB), #239 SE",5'6/159,2012,Vincent Smith,Not Drafted,Not Drafted,3* (#102 RB),Former players,Former players,Offense,"5.7 (#36 RB), #62 FL",True,RB,43,3.66
RB,"0.8647 (#61 RB), #740 OVR","87 (#51 RB), #9 SC",arriving in fall,2022 (Harbaugh),2015-> (Harbaugh),"77 (#61 RB), #357 SE",5'11/190,0,CJ Stokes,Still in High School,2026,"3* , 87, #NR Ovr
 #48 RB, #11 SC",Class of 2022,Commits,Offense,"5.6 (#41 RB), #8 SC",True,RB,44,3.66
RB,"0.8653 (#5 APB), #435 OVR",-,Transfer: playing time,2007 (Carr),1995-'07 (Carr),"78 (#33 RB), #NR West",5'10/195,2008,Avery Horn,Not Drafted,Not Drafted,3* (#77 RB),Former players,Former players,Offense,"5.6 (#13 APB), #67 CA",True,RB,45,3.64
RB,"0.8715 (#40 RB), #478 OVR","90 (#29 RB), not ranked",Played out eligibility,2015 (Harbaugh),2015-> (Harbaugh),"78 (#70 RB), #334 SE",5'10/190,2018,Karan Higdon,UDFA,UDFA,3* (#84 RB),Former players,Former players,Offense,"5.7 (#45 RB), #77 FL",True,RB,46,3.64
RB,"0.8539 (#50 RB), #979 OVR","85 (#67 RB), #1044 OVR",Early NFL,2018 (Harbaugh),2015-> (Harbaugh),"75 (#55 RB), #199 Midlands",6'1/202,2021,Hassan Haskins,Still in College,2022,-,Former players,Former players,Offense,"5.6 (#41 RB), #12 MO",True,RB,47,3.5
RB,"0.8333 (#28 RB), #392 OVR",-,Transfer: playing time,2002 (Carr),1995-'07 (Carr),-,6'0/200,2004,Pierre Rembert,Not Drafted,Not Drafted,2* (#114 RB),Former players,Former players,Offense,5.8 (#17 RB),True,RB,48,3.49
RB,"0.8543 (#1 FB), #734 OVR","85 (#2 FB), #891 OVR",Transfer: playing time,2016 (Harbaugh),2015-> (Harbaugh),"75 (#77 RB), #417 SE",6'1/225,2016,Kingston Davis,Not Drafted,Not Drafted,3* (#95 RB),Former players,Former players,Offense,"5.7 (#2 FB), #16 AL",True,RB,49,3.48
RB,"0.84 (#66 RB), #908 OVR",-,Transfer: playing time,2011 (Hoke),2011-'14 (Hoke),"75 (#84 RB), #144 MW",5'10/215,2013,Thomas Rawls,UDFA but NFL player,UDFA+,3* (#77 RB),Former players,Former players,Offense,"5.6 (#NR RB), #19 MI",True,RB,50,3.47
RB,"0.8472 (#58 RB), #893 OVR","85 (#55 RB), #853 OVR",Transfer: playing time,2017 (Harbaugh),2015-> (Harbaugh),"77 (#56 RB), #384 SE",5'8/200,2018,Kurt Taylor,Still in College,2023,3* (#64 RB),Former players,Former players,Offense,5.4 (#NR RB),True,RB,51,3.39
RB,"0.8462 (#14 APB), #904 OVR",-,Behavioral: dismissed,2010 (Rodriguez),2008-'10 (Rodriguez),"77 (#77 RB), #NR MW",6'0/186,2010,Austin White,Not Drafted,Not Drafted,"4* (#15 RB), #155 OVR",Former players,Former players,Offense,"5.7 (#10 APB), #11 MI",True,RB,52,3.36
RB,"0.8441 (#51 RB), #938 OVR","85 (#48 RB), not ranked",Degree/Medical,2012 (Hoke),2011-'14 (Hoke),"68 (#160 RB), #297 MW",6'1/205,2016,Drake Johnson,Not Drafted,Not Drafted,3* (#77 RB),Former players,Former players,Offense,"5.6 (#NR RB), #21 MI",True,RB,53,3.35
RB,"0.8173 (#141 RB), #2156 OVR","81 (#150 RB), #2200 OVR",Transfer: playing time,2020 (Harbaugh),2015-> (Harbaugh),"71 (#158 RB), #263 East",5'10/205,2020,Gaige Garcia,Still in College,2025,-,Former players,Former players,Offense,5.4 (#NR RB),True,RB,54,2.94
RB,"0.7879 (#188 S), not ranked","72 (#224 S), #3017 OVR",Degree and a Transfer,2016 (Harbaugh),2015-> (Harbaugh),walk-on,5'10/190,2019,Tru Wilson,Still in College,2022,-,Former players,Former players,Offense,walk-on,True,RB,55,2.81
RB,-,Superprep: #36 in La.,Played out eligibility,2000 (Carr),1995-'07 (Carr),-,5'9/185,2004,Tim Bracken,Not Drafted,Not Drafted,Superprep: #36 LA,Former players,Former players,Offense,1* (#NR RB),True,RB,56,2.7
FB,-,BlueChip Illustrated: Dream Team,Transfer: Personal,1993 (Moeller),1990-'94 (Moeller),"Lemming: #7 OLB, #2 Mid-Atl",6'4/248,1993,J.J. Brown,Not Drafted,Not Drafted,Superprep: #2 ILB,Former players,Former players,Offense,-,True,FB,1,4.56
FB,-,-,Degree and a Handshake,1998 (Carr),1995-'07 (Carr),"Lemming: #3 DE, #54 OVR",6'3/255,2001,Dave Armstrong,Not Drafted,Not Drafted,"Superprep: #16 LB, #4 PA",Former players,Former players,Offense,"5.9 (#3 NT), #88 OVR",True,FB,2,4.56
FB,-,"BlueChip Illustrated: #3 RB, #16 OVR",Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming: #6 RB, #4 MW",6'1/225,1997,Chris Floyd,1st Day (Rnd 1-3),3rd,"Superprep: #7 RB, #3 MW (AA)",Former players,Former players,Offense,6.0 (#4 FB),True,FB,3,4.54
FB,-,-,Behavioral: dismissed,1997 (Carr),1995-'07 (Carr),"Lemming: #2 FB, #48 OVR, #9 MW",6'2/265,1998,Demetrius Smith,Not Drafted,Not Drafted,"Superprep: #17 DL, #5 MW",Former players,Former players,Offense,5.9 (#1 NT),True,FB,4,4.53
FB,"0.9442 (#7 TE), #79 OVR",-,Degree and a Handshake,2003 (Carr),1995-'07 (Carr),"Lemming: #4 DT, #79 OVR",6'3/254,2006,Will Paul,Not Drafted,Not Drafted,"5* (#2 TE), #30 OVR",Former players,Former players,Offense,"5.8 (#7 TE), #2 MO",True,FB,5,4.47
FB,"0.9419 (#11 DT), #121 OVR","94 (#11 DT), #120 OVR",Played out eligibility,2013 (Hoke),2011-'14 (Hoke),"82 (#22 DT), #255 OVR",6'4/270,2017,Henry Poggi,Not Drafted,Not Drafted,"4* (#15 DT), #143 OVR",Former players,Former players,Offense,"6.0 (#5 DT), #70 OVR",True,FB,6,4.39
FB,-,-,Degree/Medical,1990 (Moeller),1990-'94 (Moeller),Lemming: #13 DE,6'4/240,1992,Greg McThomas,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,FB,7,4.36
FB,-,"BlueChip Illustrated: #9 RB, All American",Transfer: Personal,1993 (Moeller),1990-'94 (Moeller),Lemming: #2 FB,6'2/245,1994,Jon Ritchie,1st Day (Rnd 1-3),3rd,Superprep: #9 RB (AA),Former players,Former players,Offense,"Emfinger:
 #1 FB",True,FB,8,4.35
FB,-,-,Early NFL,1991 (Moeller),1990-'94 (Moeller),"Lemming:#21 RB, #91 OVR",6'2/240,1994,Che' Foster,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,FB,9,4.26
FB,-,BCI: 2nd tm AA,Transfer: playing time,1993 (Moeller),1990-'94 (Moeller),"Lemming:#6 ILB, #8 Southwest, All American",6'2/220,1995,George Howell,Not Drafted,Not Drafted,"Superprep: #27 ILB, #25 TX (AA)",Former players,Former players,Offense,-,True,FB,10,4.13
FB,"0.8953 (#2 FB), #299 OVR","90 (#1 FB), not ranked",Degree and a Handshake,2013 (Hoke),2011-'14 (Hoke),"79 (#1 FB), #62 MW",6'3/245,2016,Wyatt Shallman,Not Drafted,Not Drafted,"4* (#2 FB), #293 OVR",Former players,Former players,Offense,"5.8 (#18 ATH), #6 MI",True,FB,11,3.9
FB,-,-,Transfer: playing time,2006 (Carr),1995-'07 (Carr),"77 (#18 OLB), #38 MW",6'1/193,2007,Quintin Patilla,Not Drafted,Not Drafted,3* (#58 LB),Former players,Former players,Offense,"5.7 (#26 OLB), #6 MI",True,FB,12,3.87
FB,-,BCI: #5 RB Midwest,Transfer: Personal,1996 (Carr),1995-'07 (Carr),"Lemming: #5 FB, #6 MW",6'2/240,1997,John Anes,Not Drafted,Not Drafted,"Superprep: #6 FB, #18 MW (AA)",Former players,Former players,Offense,All-Am (#7 FB),True,FB,13,3.81
FB,-,-,Behavioral: dismissed,1997 (Carr),1995-'07 (Carr),-,6'2/210,1998,Ray Jackson,UDFA,UDFA,Superprep: #49 MW,Former players,Former players,Offense,-,True,FB,14,3.79
FB,"0.8575 (#29 TE), #666 OVR","86 (#31 TE), not ranked",Played out eligibility,2013 (Hoke),2011-'14 (Hoke),"79 (#8 TE-H), #59 MW",6'2/235,2017,Khalid Hill,UDFA,UDFA,3* (#18 TE),Former players,Former players,Offense,"5.6 (#32 TE), #21 MI",True,FB,15,3.66
FB,-,-,Played out eligibility,2002 (Carr),1995-'07 (Carr),-,6'0/235,2006,Obi Oluigbo,Not Drafted,Not Drafted,not rated,Former players,Former players,Offense,5.6 (#25 ILB),True,FB,16,3.64
FB,"0.8508 (#63 S), #779 OVR","89 (#34 S), not ranked",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"77 (#71 OLB), #88 MW",6'2/226,2018,Jared Wangler,Not Drafted,Not Drafted,3* (#53 OLB),Former players,Former players,Offense,"5.6 (#NR OLB), #16 MI",True,FB,17,3.63
FB,-,-,Played out eligibility,1992 (Moeller),1990-'94 (Moeller),Lemming: #29 ILB,6'3/215,1996,Mike Vanderbeek,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,FB,18,3.62
FB,"0.851 (#32 ILB), #806 OVR","85 (#36 ILB), #903 OVR",(Played out eligibility-COVID),2017 (Harbaugh),2015-> (Harbaugh),"80 (#30 OLB), #51 East",6'3/247,2020,Ben Mason,2nd Day (Rnd 4-7),5th,3* (#65 DE),Former players,Former players,Offense,5.6 (#35 ILB),True,FB,19,3.6
FB,"0.851 (#89 RB), not ranked",-,Degree/Gave up football,2010 (Rodriguez),2008-'10 (Rodriguez),"77 (#50 RB), #NR Midlands",6'0/235,2012,Stephen Hopkins,Not Drafted,Not Drafted,3* (#52 RB),Former players,Former players,Offense,5.5 (#NR RB),True,FB,20,3.52
FB,"0.8556 (#9 FB), #417 OVR",-,Degree/Medical,2004 (Carr),1995-'07 (Carr),Lemming: #24 FB,6'1/230,2004,Roger Allison,Not Drafted,Not Drafted,4* (#17 LB),Former players,Former players,Offense,"5.6 (#9 FB), #8 MI",True,FB,21,3.52
FB,-,BlueChip Illustrated: #Honorable Mention-All Midwest,Degree/Medical,1996 (Carr),1995-'07 (Carr),-,6'0/240,1996,Jason Foster,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,FB,22,3.5
FB,"0.8588 (#6 FB), #705 OVR","83 (#6 FB), not ranked",Played out eligibility,2012 (Hoke),2011-'14 (Hoke),"72 (#4 FB), #220 West",6'0/215,2015,Sione Houma,Not Drafted,Not Drafted,3* (#5 FB),Former players,Former players,Offense,5.5 (#5 FB),True,FB,23,3.5
FB,-,-,Played out eligibility,1999 (Carr),1995-'07 (Carr),All-American,6'3/210,2002,B.J. Askew,1st Day (Rnd 1-3),3rd,-,Former players,Former players,Offense,3* (#66 DE),True,FB,24,3.44
FB,-,-,Gave up football,2001 (Carr),1995-'07 (Carr),Lemming: #22 FB,6'3/250,2002,Sean Sanderson,Not Drafted,Not Drafted,"Superprep: #3 FB, #7 TN",Former players,Former players,Offense,2* (#NR FB),True,FB,25,3.12
FB,-,-,Played out eligibility,2000 (Carr),1995-'07 (Carr),Lemming: #24 FB,6'1/220,2004,Kevin Dudley,UDFA,UDFA,Superprep: #46 MW,Former players,Former players,Offense,2* (#NR FB),True,FB,26,3.07
FB,-,walk-on,Played out eligibility,2011 (Hoke),2011-'14 (Hoke),walk-on,6'0/230,2015,Joe Kerridge,UDFA but NFL player,UDFA+,walk-on,Former players,Former players,Offense,walk-on,True,FB,27,2.67
WR,-,-,Played out eligibility,1992 (Moeller),1990-'94 (Moeller),Lemming: #1 WR,6'3/180,1995,Amani Toomer,1st Day (Rnd 1-3),2nd,-,Former players,Former players,Offense,-,True,WR,1,4.95
WR,"0.9922 (#1 WR), #12 OVR","98 (#2 WR), #29 OVR",Early NFL,2017 (Harbaugh),2015-> (Harbaugh),"88 (#4 WR), #22 OVR",6'2/193,2019,Donovan Peoples-Jones,2nd Day (Rnd 4-7),6th,"5* (#1 WR), #22 OVR",Former players,Former players,Offense,"6.1 (#1 WR), #12 OVR",True,WR,2,4.9
WR,-,"Prepstar: #3 WR, #1 WR ACC Region",Early NFL,1998 (Carr),1995-'07 (Carr),"Lemming: #1 WR, #7 OVR",6'3/197,2000,David Terrell,1st Day (Rnd 1-3),1st,"Superprep: #4 WR, #23 OVR",Former players,Former players,Offense,6.1 (#2 WR),True,WR,3,4.89
WR,-,"Prepstar: #2 WR, #1 East",Played out eligibility,1998 (Carr),1995-'07 (Carr),"Lemming: #2 WR, #13 OVR",6'3/195,2001,Marquise Walker,1st Day (Rnd 1-3),3rd,"Superprep: #1 WR, #3 OVR",Former players,Former players,Offense,6.1 (#3 WR),True,WR,4,4.88
WR,-,-,Played out eligibility,1992 (Moeller),1990-'94 (Moeller),Lemming: #4 WR,5'11/180,1995,Mercury Hayes,2nd Day (Rnd 4-7),5th,-,Former players,Former players,Offense,-,True,WR,5,4.85
WR,"0.9785 (#6 WR), #52 OVR",-,Early NFL,2005 (Carr),1995-'07 (Carr),-,6'0/180,2007,Mario Manningham,1st Day (Rnd 1-3),3rd,"4* (#7 WR), #64 OVR",Former players,Former players,Offense,"6.0 (#5 WR), #45 OVR",True,WR,6,4.75
WR,-,-,Transfer: playing time,1994 (Moeller),1990-'94 (Moeller),Lemming:#13 WR,5'8/169,1996,Tyrone Butterfield,Not Drafted,Not Drafted,-,Former players,Former players,Offense,6.1 (#2 RB),True,WR,7,4.72
WR,"0.9772 (#9 WR), #48 OVR",-,Behavioral: dismissed,2008 (Rodriguez),2008-'10 (Rodriguez),"85 (#14 WR), #71 OVR",6'2/180,2011,Darryl Stonum,Not Drafted,Not Drafted,"4* (#12 WR), #73 OVR",Former players,Former players,Offense,"6.0 (#7 WR), #41 OVR",True,WR,8,4.7
WR,"0.9767 (#8 WR), #58 OVR",-,Degree/Medical,2005 (Carr),1995-'07 (Carr),"Lemming: #11 DB, #67 OVR",6'0/195,2007,Antonio Bass,Not Drafted,Not Drafted,"4* (#9 WR), #69 OVR",Former players,Former players,Offense,"6.0 (#5 ATH), #49 OVR",True,WR,9,4.68
WR,-,"BlueChip Illustrated: #4 WR, All American",Transfer: Personal,1993 (Moeller),1990-'94 (Moeller),"Lemming: #4 WR, #10 MW",5'11/165,1994,Seth Smith,Not Drafted,Not Drafted,"Superprep: #2 WR, #4 MW (AA)",Former players,Former players,Offense,-,True,WR,10,4.67
WR,-,-,Degree/Gave up football,1991 (Moeller),1990-'94 (Moeller),Lemming: #2 WB,6'0/170,1993,Felman Malveaux,UDFA,UDFA,-,Former players,Former players,Offense,-,True,WR,11,4.66
WR,"0.9663 (#7 WR), #67 OVR","96 (#12 WR), #88 OVR",Degree and a Transfer,2014 (Hoke),2011-'14 (Hoke),"84 (#10 WR), #85 OVR",6'4/180,2017,Drake Harris,Not Drafted,Not Drafted,"4* (#8 WR), #52 OVR",Former players,Former players,Offense,"5.9 (#15 WR), #115 OVR",True,WR,12,4.6
WR,"0.9648 (#12 WR), #76 OVR","93 (#13 WR), #98 OVR",Transfer: Personal,2021 (Harbaugh),2015-> (Harbaugh),"84 (#22 WR), #124 OVR",6'1/160,2021,Xavier Worthy,Still in College,2025,-,Former players,Former players,Offense,"5.9 (#11 WR), #65 OVR",True,WR,13,4.54
WR,"0.9311 (#13 WR), #118 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),"Lemming: #5 WR, #49 OVR",6'1/200,2005,Jason Avant,2nd Day (Rnd 4-7),4th,"4* (#10 WR), #76 OVR",Former players,Former players,Offense,5.8 (#13 WR),True,WR,14,4.51
WR,"0.9564 (#11 WR), #94 OVR",-,Transfer: playing time,2009 (Rodriguez),2008-'10 (Rodriguez),"85 (#8 WR), #67 OVR",6'0/178,2011,Je'Ron Stokes,Not Drafted,Not Drafted,"4* (#17 WR), #169 OVR",Former players,Former players,Offense,"5.9 (#14 WR), #104 OVR",True,WR,15,4.51
WR,-,"BlueChip Illustrated: #6 DB, #2 DB Midwest",Played out eligibility,1995 (Carr),1995-'07 (Carr),"Lemming: #5 S, #20 MW",6'3/190,1999,DiAllo Johnson,Not Drafted,Not Drafted,"Superprep: #6 ATH, #8 MW (AA)",Former players,Former players,Offense,"Emfinger:
 Top 105",True,WR,16,4.51
WR,-,"BCI: #3 WR Midwest, All American",Played out eligibility,1995 (Carr),1995-'07 (Carr),"Lemming: #4 WR, #15 MW",6'4/185,1998,Tai Streets,2nd Day (Rnd 4-7),6th,"Superprep: #5 WR, #7 MW (AA)",Former players,Former players,Offense,"5.9 (#5 WR), #105 OVR",True,WR,17,4.51
WR,-,BlueChip Illustrated: #19 WR,Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming: #12 WR, #16 MW",6'0/180,1998,Todd Brooks,Not Drafted,Not Drafted,"Superprep: #16 WR, #10 MW (AA)",Former players,Former players,Offense,-,True,WR,18,4.49
SL,"0.958 (#17 WR), #92 OVR","93 (#27 WR), #141 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"84 (#16 WR), #112 OVR",5'10/183,On Team,AJ Henning,Still in College,2025,-,Current players,Current players,Offense,"5.9 (#14 WR), #86 OVR",True,SL,19,4.49
WR,"0.9369 (#18 WR), #115 OVR",-,Early NFL,2004 (Carr),1995-'07 (Carr),"Lemming: #5 WR, #43 OVR",6'3/180,2007,Adrian Arrington,2nd Day (Rnd 4-7),7th,"4* (#11 WR), #66 OVR",Former players,Former players,Offense,"5.8 (#17 WR), #1 IA",True,WR,20,4.48
WR,"0.9451 (#19 WR), #131 OVR","93 (#30 WR), #172 OVR",On Team,2022 (Harbaugh),2015-> (Harbaugh),"82 (#23 WR), #181 OVR",6'3/205,0,Darrius Clemons,Still in High School,2026,"4* , 96, #47 Ovr
 #5 WR, #1 OR",Class of 2022,Commits,Offense,"5.9 (#18 WR), #91 OVR",True,WR,21,4.48
SL,-,-,Played out eligibility,1999 (Carr),1995-'07 (Carr),-,5'11/180,2003,Brent Cummings,Not Drafted,Not Drafted,Superprep: #6 RB (AA),Former players,Former players,Offense,3* (#23 WR),True,SL,22,4.45
WR,-,BCI: #3 WR Southwest,Transfer: playing time,1996 (Carr),1995-'07 (Carr),"Lemming: #8 WR, #14 SW (AA)",6'0/175,1997,Aaron Wright,Not Drafted,Not Drafted,"Superprep: #8 WR, #10 TX (AA)",Former players,Former players,Offense,-,True,WR,23,4.39
WR,"0.9446 (#20 WR), #113 OVR","94 (#21 WR), #131 OVR",Transfer: playing time,2016 (Harbaugh),2015-> (Harbaugh),"82 (#22 WR), #179 OVR",6'2/186,2017,Kekoa Crawford,Still in College,2022,"4* (#24 WR), #134 OVR",Former players,Former players,Offense,"5.9 (#26 WR), #129 OVR",True,WR,24,4.38
WR,"0.9417 (#17 WR), #122 OVR","92 (#28 WR), #194 OVR",Degree and a Transfer,2017 (Harbaugh),2015-> (Harbaugh),"81 (#33 WR), #225 OVR",6'3/208,2019,Tarik Black,Still in College,2023,"4* (#16 WR), #90 OVR",Former players,Former players,Offense,"5.9 (#11 WR), #76 OVR",True,WR,25,4.37
