Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
G,-,-,Played out eligibility,1999 (Carr),1995-'07 (Carr),Lemming: #20 ILB,6'3/240,2003,Dave Pearson,UDFA,UDFA,-,Former players,Former players,Offense,3* (#26 LB),True,OG,48,3.93
C,"0.8945 (#12 OG), #286 OVR",-,Played out eligibility,2008 (Rodriguez),2008-'10 (Rodriguez),"77 (#42 OT), #NR MW",6'5/280,2012,Elliott Mealer,Not Drafted,Not Drafted,"4* (#28 OT), #267 OVR",Former players,Former players,Offense,"5.8 (#24 OG), #213 OVR",True,C,49,3.92
G,-,-,Degree and a Handshake,1997 (Carr),1995-'07 (Carr),"Lemming: #23 G/C, #45 MW",6'4/245,2000,Adam Adkins,Not Drafted,Not Drafted,Superprep: #35 MW,Former players,Former players,Offense,-,True,OG,50,3.92
G,"0.89 (#32 OT), #287 OVR",-,Degree/Medical,2011 (Hoke),2011-'14 (Hoke),"77 (#37 OG), #93 MW",6'4/330,2013,Chris Bryant,Not Drafted,Not Drafted,3* (#21 OG),Former players,Former players,Offense,"5.8 (#19 OT), #203 OVR",True,OG,51,3.9
G,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #19 OG,6'4/275,1995,Joe Marinaro,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OG,52,3.87
C,"0.8764 (#22 OG), #350 OVR",-,Played out eligibility,2007 (Carr),1995-'07 (Carr),"78 (#6 OC), #NR MW",6'2/280,2011,David Molk,2nd Day (Rnd 4-7),7th,4* (#3 OC),Former players,Former players,Offense,"5.7 (#5 OC), #7 IL",True,C,53,3.86
G,"0.8769 (#24 OG), #435 OVR",-,Transfer: Coach,2008 (Rodriguez),2008-'10 (Rodriguez),"78 (#20 OG), #NR MW",6'3/278,2008,Kurt Wermers,Not Drafted,Not Drafted,"4* (#11 OG), #287 OVR",Former players,Former players,Offense,"5.6 (#37 OG), #4 IN",True,OG,54,3.83
G,-,-,Degree and a Handshake,1991 (Moeller),1990-'94 (Moeller),Lemming: #21 OG,6'3/300,1994,Ante Skorput,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OG,55,3.82
G,-,-,Degree and a Handshake,1993 (Moeller),1990-'94 (Moeller),"Lemming: # , #13 Canada",6'4/275,1996,John Partchenko,Not Drafted,Not Drafted,Superprep: #1 Canada,Former players,Former players,Offense,-,True,OG,56,3.81
G,"0.8803 (#47 OT), #427 OVR","89 (#40 OT), not ranked",Played out eligibility,2012 (Hoke),2011-'14 (Hoke),"79 (#50 OT), #46 MW",6'6/295,2016,Ben Braden,UDFA but NFL player,UDFA+,3* (#40 OT),Former players,Former players,Offense,"5.7 (#38 OT), #8 MI",True,OG,57,3.8
C,"0.8795 (#20 OG), #422 OVR",-,Degree/Medical,2010 (Rodriguez),2008-'10 (Rodriguez),"79 (#13 OG), #NR MW",6'2/262,2010,Christian Pace,Not Drafted,Not Drafted,3* (#11 OC),Former players,Former players,Offense,"5.7 (#7 OC), #25 OH",True,C,58,3.79
C,"0.8776 (#33 OG), #554 OVR","88 (#37 OG), #597 OVR",Transfer: Personal,2019 (Harbaugh),2015-> (Harbaugh),"78 (#34 OG), #60 MW",6'5/310,2020,Zach Carpenter,Still in College,2025,-,Former players,Former players,Offense,"5.7 (#15 OG), #16 OH",True,C,59,3.78
G,"0.883 (#8 OC), #434 OVR","89 (#10 OC), #393 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"79 (#51 OT), #90 Midlands",6'5/290,On Team,Reece Atteberry,Still in College,2025,-,Current players,Current players,Offense,"5.7 (#55 OT), #5 CO",True,OG,60,3.77
G,"0.8755 (#15 OG), #414 OVR","89 (#17 OG), not ranked",Transfer: playing time,2013 (Hoke),2011-'14 (Hoke),"75 (#87 OT), #125 MW",6'5/290,2014,Dan Samuelson,Not Drafted,Not Drafted,4* (#25 OT),Former players,Former players,Offense,"5.6 (#33 OG), #11 IN",True,OG,61,3.73
G,"0.8646 (#62 OT), #643 OVR","85 (#66 OT), not ranked",Degree and a Handshake,2012 (Hoke),2011-'14 (Hoke),"79 (#54 OT), #190 SE",6'5/265,2015,Blake Bars,Not Drafted,Not Drafted,3* (#58 OT),Former players,Former players,Offense,"5.8 (#32 OT), #9 TN",True,OG,62,3.71
G,"0.86 (#30 OG), #566 OVR","86 (#14 OG), not ranked",Gave up football,2011 (Hoke),2011-'14 (Hoke),"78 (#34 OT), #215 SE",6'4/310,2011,Tony Posada,Not Drafted,Not Drafted,3* (#45 OT),Former players,Former players,Offense,5.5 (#NR OG),True,OG,63,3.64
G,"0.8333 (#46 OG), #603 OVR",-,Degree/Medical,2003 (Carr),1995-'07 (Carr),-,6'4/275,2005,Pat Sharrow,Not Drafted,Not Drafted,3* (#97 OL),Former players,Former players,Offense,"5.6 (#21 OG), #8 MI",True,OG,64,3.62
C,"0.8333 (#44 OG), #582 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),-,6'5/260,2006,Mark Bihl,Not Drafted,Not Drafted,3* (#66 OL),Former players,Former players,Offense,5.6 (#42 OG),True,C,65,3.57
G,"0.8543 (#34 OT), #742 OVR","85 (#50 OT), #994 OVR",Degree and a Transfer,2016 (Harbaugh),2015-> (Harbaugh),"75 (#60 OG), #119 East",6'5/330,2019,Stephen Spanellis,Not Drafted,Not Drafted,3* (#54 OT),Former players,Former players,Offense,"5.7 (#36 OT), #16 MD",True,OG,66,3.56
G,"0.8333 (#51 OG), #653 OVR",-,Degree/Medical,2002 (Carr),1995-'07 (Carr),-,6'4/299,2003,Tom Berishaj,Not Drafted,Not Drafted,3* (#79 OL),Former players,Former players,Offense,"5.6 (#44 OG), #20 MI",True,OG,67,3.52
C,"0.85 (#42 OC), #744 OVR",-,Degree/Gave up football,2011 (Hoke),2011-'14 (Hoke),"78 (#53 DT), #71 MW",6'4/270,2014,Jack Miller,Not Drafted,Not Drafted,3* (#16 OC),Former players,Former players,Offense,"5.5 (#NR WDE), #53 OH",True,C,68,3.51
C,"0.8514 (#62 OT), #732 OVR",-,Degree/Gave up football,2008 (Rodriguez),2008-'10 (Rodriguez),"66 (#99 OG), #NR MW",6'4/280,2011,Rocko Khoury,Not Drafted,Not Drafted,3* (#65 OT),Former players,Former players,Offense,"5.7 (#41 OT), #11 MI",True,C,69,3.43
G,-,-,Played out eligibility,2006 (Carr),1995-'07 (Carr),"70 (#111 DE), #NR East",6'4/268,2010,John Ferrara,Not Drafted,Not Drafted,3* (#58 DE),Former players,Former players,Offense,"5.6 (#46 SDE), #7 NY",True,OG,70,3.43
G,"0.7816 (#121 OG), not ranked",-,Played out eligibility,2008 (Rodriguez),2008-'10 (Rodriguez),"64 (#113 OT), #NR MW",6'4/236,2012,Patrick Omameh,UDFA but NFL player,UDFA+,3* (#87 OT),Former players,Former players,Offense,5.1 (#NR SDE),True,OG,71,2.89
C,-,walk-on,Played out eligibility,2016 (Harbaugh),2015-> (Harbaugh),walk-on,6'3/310,2021,Andrew Vastardis,Still in College,2022,walk-on,Former players,Former players,Offense,walk-on,True,C,72,2.7
C,"0.7667 (#16 OG), #3300 OVR",not ranked,On Team,2022 (Harbaugh),2015-> (Harbaugh),no rating,6'3/275,0,Victor Oluwatimi,Still in College,2023,no ratings,Class of 2022,Commits,Offense,not ranked,True,C,73,2.67
T,-,"Parade AA
 All-USA 1st tm",Played out eligibility,1999 (Carr),1995-'07 (Carr),"Lemming:
 #3 OT",6'6/290,2003,Tony Pape,2nd Day (Rnd 4-7),7th,Superprep: #3 OL (Top 50),Former players,Former players,Offense,4* (#5 OL),True,OT,1,4.72
T,-,"Athlon's: #87 OVR, #17 Big Ten",Played out eligibility,1996 (Carr),1995-'07 (Carr),"Lemming:
 #4 OT, #17 SE (AA1t)",6'6/270,2000,Jeff Backus,1st Day (Rnd 1-3),1st,"Superprep: #5 OL, #15 SE (AA)",Former players,Former players,Offense,All-Am (#3 OT),True,OT,2,4.69
T,"0.9664 (#10 OT), #72 OVR",-,Transfer: Coach,2008 (Rodriguez),2008-'10 (Rodriguez),"85 (#4 OT), #69 OVR",6'8/290,2008,Dann O'Neill,UDFA,UDFA,"4* (#14 OT), #147 OVR",Former players,Former players,Offense,"6.0 (#10 OT), #49 OVR",True,OT,3,4.61
T,-,Parade AA,Played out eligibility,1997 (Carr),1995-'07 (Carr),"Lemming: #4 OT, #21 OVR, #2 MW",6'5/245,2000,Maurice Williams,1st Day (Rnd 1-3),2nd,"Superprep: #6 OL, #3 MW",Former players,Former players,Offense,5.9 (#n/a DL),True,OT,4,4.58
T,"0.9671 (#9 OT), #84 OVR",-,Degree/Medical,2005 (Carr),1995-'07 (Carr),"Lemming: #1 OT, #85 OVR",6'5/301,2008,Cory Zirbel,Not Drafted,Not Drafted,4* (#20 OL),Former players,Former players,Offense,"5.9 (#10 OT), #83 OVR",True,OT,5,4.56
T,"0.9628 (#8 OT), #88 OVR","94 (#11 OT), #147 OVR",arriving in fall,2022 (Harbaugh),2015-> (Harbaugh),"84 (#12 OT), #78 OVR",6'8/310,0,Andrew Gentry,Still in High School,2026,no ratings,Class of 2022,Commits,Offense,"6.0 (#8 OT), #68 OVR",True,OT,6,4.53
T,"0.9612 (#11 OT), #88 OVR","95 (#12 OT), #88 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"84 (#18 OT), #136 OVR",6'5/285,On Team,Giovanni El-Hadi,Still in High School,2026,-,Current players,Current players,Offense,"5.9 (#13 OT), #92 OVR",True,OT,7,4.49
T,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #26 OT,6'7/290,1994,Trezelle Jenkins,1st Day (Rnd 1-3),1st,Superprep: #1 OL (AA),Former players,Former players,Offense,-,True,OT,8,4.48
T,"0.9472 (#9 OG), #110 OVR","94 (#6 OG), #136 OVR",Degree/Medical,2013 (Hoke),2011-'14 (Hoke),"83 (#10 OT), #134 OVR",6'6/300,2014,Chris Fox,Not Drafted,Not Drafted,"4* (#6 OG), #118 OVR",Former players,Former players,Offense,"5.9 (#11 OT), #142 OVR",True,OT,9,4.44
T,"0.9594 (#9 OT), #83 OVR","96 (#6 OT), #71 OVR",Played out eligibility,2012 (Hoke),2011-'14 (Hoke),"79 (#27 OT), #41 West",6'6/275,2016,Erik Magnuson,UDFA but NFL player,UDFA+,"4* (#15 OT), #82 OVR",Former players,Former players,Offense,"5.9 (#10 OT), #78 OVR",True,OT,10,4.43
T,-,-,Played out eligibility,2001 (Carr),1995-'07 (Carr),Lemming: #10 G/C,6'5/295,2005,Adam Stenavich,Not Drafted,Not Drafted,"Superprep: #16 OL, #10 MW",Former players,Former players,Offense,4* (#20 OL),True,OT,11,4.41
T,"0.9512 (#11 OT), #108 OVR","95 (#11 OT), #109 OVR",On Team,2019 (Harbaugh),2015-> (Harbaugh),"82 (#20 OT), #202 OVR",6'4/282,On Team,Trente Jones,Still in College,2025,-,Current players,Current players,Offense,"5.9 (#12 OT), #90 OVR",True,OT,12,4.41
T,-,USA Today 2nd team,Played out eligibility,1999 (Carr),1995-'07 (Carr),"Lemming: #6 OT, #69 OVR",6'6/280,2003,Demeterius Solomon,Not Drafted,Not Drafted,Superprep: #1 OL (Top 50),Former players,Former players,Offense,5.5 (NR OL),True,OT,13,4.38
T,"0.9408 (#8 OG), #126 OVR","96 (#4 OG), #87 OVR",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"83 (#10 OG), #165 OVR",6'5/285,2017,Mason Cole,1st Day (Rnd 1-3),3rd,"4* (#18 OT), #253 OVR",Former players,Former players,Offense,"5.9 (#12 OT), #92 OVR",True,OT,14,4.37
T,"0.9683 (#5 OG), #84 OVR",-,Degree and a Handshake,2004 (Carr),1995-'07 (Carr),Lemming: #23 OT,6'5/310,2007,Alex Mitchell,Not Drafted,Not Drafted,3* (#53 OL),Former players,Former players,Offense,"5.9 (#3 OG), #80 OVR",True,OT,15,4.37
T,"0.9 (#19 OT), #211 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),"Lemming: #5 OL, #77 OVR",6'7/275,2006,Mike Kolodziej,Not Drafted,Not Drafted,4* (#12 DT),Former players,Former players,Offense,5.8 (#13 OT),True,OT,16,4.34
T,"0.9357 (#8 OT), #106 OVR",-,Played out eligibility,2003 (Carr),1995-'07 (Carr),Lemming: #12 OT,6'7/295,2007,Jake Long,1st Day (Rnd 1-3),1st,"4* (#11 OL), #72 OVR",Former players,Former players,Offense,"5.8 (#21 OT), #6 MI",True,OT,17,4.32
T,-,Athlon's: #20 Big Ten,Degree/Medical,1996 (Carr),1995-'07 (Carr),"Lemming:
 #16 OT, #24 SW (AA)",6'5/300,1997,Paul Tannous,Not Drafted,Not Drafted,"Superprep: #24 OL, #18 TX (AA)",Former players,Former players,Offense,-,True,OT,18,4.25
T,"0.9268 (#16 OT), #169 OVR","94 (#9 OT), #129 OVR",Behavioral: dismissed,2013 (Hoke),2011-'14 (Hoke),"84 (#7 OT), #104 OVR",6'7/300,2014,Logan Tuley-Tillman,Not Drafted,Not Drafted,"4* (#24 OT), #300 OVR",Former players,Former players,Offense,"5.8 (#24 OT), #7 IL",True,OT,19,4.25
T,-,-,Played out eligibility,1992 (Moeller),1990-'94 (Moeller),Lemming: #17 OT,6'5/285,1996,Thomas Guynes,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OT,20,4.21
T,"0.9244 (#12 OT), #160 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"81 (#12 OT), #148 OVR",6'8/272,2013,Taylor Lewan,1st Day (Rnd 1-3),1st,"4* (#20 OT), #274 OVR",Former players,Former players,Offense,"5.8 (#16 OT), #194 OVR",True,OT,21,4.21
T,"0.9121 (#7 SDE), #219 OVR","95 (#4 SDE), #109 OVR",Transfer: playing time,2017 (Harbaugh),2015-> (Harbaugh),"80 (#30 DE), #38 MW",6'5/280,2018,James Hudson,2nd Day (Rnd 4-7),4th,"4* (#15 DT), #273 OVR",Former players,Former players,Offense,"5.8 (#8 SDE), #240 OVR",True,OT,22,4.21
T,"0.9248 (#17 OT), #183 OVR","90 (#32 OT), #19 LA",Transfer: playing time,2021 (Harbaugh),2015-> (Harbaugh),"88 (#2 OT), #16 OVR",6'6/300,2021,Willie Allen,Still in College,2022,4* (#12 OT),Former players,Former players,Offense,"5.7 (#37 OT), #23 LA",True,OT,23,4.2
T,-,Prepstar: #3 OL MW,Played out eligibility,1998 (Carr),1995-'07 (Carr),-,6'7/302,2002,Joe Denay,Not Drafted,Not Drafted,"Superprep: #23 OL, #24 MW",Former players,Former players,Offense,-,True,OT,24,4.12
T,-,-,Degree and a Handshake,1992 (Moeller),1990-'94 (Moeller),Lemming: #43 OT,6'5/270,1995,Eric Wendt,Not Drafted,Not Drafted,Superprep: #16 OL,Former players,Former players,Offense,-,True,OT,25,4.12
T,"0.9062 (#16 OT), #268 OVR","94 (#9 OT), #126 OVR",Early NFL,2018 (Harbaugh),2015-> (Harbaugh),"77 (#72 OT), #66 MW",6'5/273,2020,Jalen Mayfield,1st Day (Rnd 1-3),3rd,"4* (#15 OT), #206 OVR",Former players,Former players,Offense,"5.8 (#17 OT), #8 MI",True,OT,26,4.11
T,"0.9074 (#22 OT), #235 OVR","92 (#23 OT), #220 OVR",Degree/Medical,2015 (Harbaugh),2015-> (Harbaugh),"81 (#27 OT), #253 OVR",6'7/290,2016,Grant Newsome,Not Drafted,Not Drafted,4* (#32 OT),Former players,Former players,Offense,"5.8 (#12 OT), #191 OVR",True,OT,27,4.11
T,"0.9089 (#17 OT), #225 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"77 (#40 OT), #NR MW",6'7/272,2013,Michael Schofield,1st Day (Rnd 1-3),3rd,"4* (#10 OT), #135 OVR",Former players,Former players,Offense,"5.8 (#18 OT), #221 OVR",True,OT,28,4.07
T,-,-,Degree/Medical,2001 (Carr),1995-'07 (Carr),Lemming: #22 OL,6'6/285,2002,Dan Simelis,Not Drafted,Not Drafted,Superprep: #22 PA,Former players,Former players,Offense,4* (#23 OL),True,OT,29,4.05
T,"0.9057 (#16 OT), #266 OVR","93 (#8 OT), #161 OVR",On Team,2019 (Harbaugh),2015-> (Harbaugh),"79 (#41 OT), #41 MW",6'4/273,On Team,Karsen Barnhart,Still in College,2025,-,Current players,Current players,Offense,"5.8 (#28 OT), #10 MI",True,OT,30,4.03
T,"0.8958 (#26 OT), #320 OVR","90 (#26 OT), #278 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"80 (#36 OT), #55 West",6'7/265,On Team,Jeffrey Persi,Still in High School,2026,-,Current players,Current players,Offense,"5.8 (#33 OT), #26 CA",True,OT,31,4.01
T,"0.8958 (#23 OT), #335 OVR","93 (#12 OT), #140 OVR",On Team,2018 (Harbaugh),2015-> (Harbaugh),"80 (#29 OT), #31 MW",6'7/252,On Team,Ryan Hayes,Still in College,2024,"4* (#21 OT), #270 OVR",Current players,Current players,Offense,"5.6 (#47 OT), #17 MI",True,OT,32,3.99
T,"0.8887 (#27 OT), #329 OVR","92 (#23 OT), not ranked",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"83 (#11 OT), #142 OVR",6'6/318,2018,Juwann Bushell-Beatty,UDFA,UDFA,3* (#50 OT),Former players,Former players,Offense,"5.7 (#33 OT), #11 NJ",True,OT,33,3.98
T,"0.892 (#32 OT), #316 OVR","88 (#42 OT), #412 OVR",Transfer: playing time,2017 (Harbaugh),2015-> (Harbaugh),"82 (#18 OT), #169 OVR",6'5/282,2017,Ja'Raymond Hall,Still in College,2023,4* (#36 OT),Former players,Former players,Offense,5.6 (#78 OT),True,OT,34,3.89
T,-,BCI: 2nd tm AA,Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming: #12 TE, #41 MW",6'7/240,1998,Jon Jansen,1st Day (Rnd 1-3),2nd,Superprep: #40 MW,Former players,Former players,Offense,5.7 (#18 TE),True,OT,35,3.87
T,-,"BCI: #7 OL Midwest, All American",Degree and a Handshake,1995 (Carr),1995-'07 (Carr),"Lemming: #NR OT, #62 MW",6'7/280,1998,Jeff Potts,Not Drafted,Not Drafted,Superprep: #36 MW,Former players,Former players,Offense,-,True,OT,36,3.86
T,-,"BCI: #12 OL Midwest, All American",Transfer: playing time,1995 (Carr),1995-'07 (Carr),"Lemming: #22 OT, #37 MW",6'5/275,1995,Ron Acheson,Not Drafted,Not Drafted,Superprep: #41 MW,Former players,Former players,Offense,-,True,OT,37,3.83
T,"0.8850 (#35 OT), #419 OVR","88 (#47 OT), #468 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"78 (#59 OT), #75 East",6'8/285,On Team,Tristan Bounds,Still in High School,2026,-,Current players,Current players,Offense,"5.8 (#25 OT), #2 CT",True,OT,38,3.82
T,"0.8702 (#56 OT), #649 OVR","88 (#45 OT), #1 CT",arriving in fall,2022 (Harbaugh),2015-> (Harbaugh),"78 (#52 OT), #59 East",6'6/285,0,Alessandro Lorenzetti,Still in High School,2026,no ratings,Class of 2022,Commits,Offense,"5.6 (#NR OT), #3 CT",True,OT,39,3.77
T,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #42 OT,6'7/298,1995,Mike Sullivan,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OT,40,3.74
T,-,BCI: #8 DL Midwest,Degree/Medical,1995 (Carr),1995-'07 (Carr),"Lemming: #NR DL, #91 MW",6'6/275,1995,Eric Moltane,Not Drafted,Not Drafted,Superprep: #58 MW,Former players,Former players,Offense,-,True,OT,41,3.74
T,"0.8759 (#46 OT), #427 OVR","86 (#78 OT), #791 OVR",Early NFL,2017 (Harbaugh),2015-> (Harbaugh),"80 (#41 OT), #54 East",6'7/285,2021,Andrew Stueber,Still in College,2022,"4* (#24 OT), #248 OVR",Former players,Former players,Offense,5.6 (#74 OT),True,OT,42,3.74
T,-,-,Early NFL,1992 (Moeller),1990-'94 (Moeller),Lemming: #46 OT,6'9/270,1995,Jon Runyan,2nd Day (Rnd 4-7),4th,-,Former players,Former players,Offense,-,True,OT,43,3.71
T,"0.8559 (#85 OT), #966 OVR","85 (#115 OT), #5 CO",On Team,2022 (Harbaugh),2015-> (Harbaugh),"76 (#84 OT), #185 Midlands",6'7/285,0,Connor Jones,Still in High School,2026,"3* , 87, #NR Ovr
 #51 OT, #3 CO",Class of 2022,Commits,Offense,"5.6 (#NR OT), #NR CO",True,OT,44,3.59
T,"0.8292 (#57 OT), #884 OVR",-,Played out eligibility,2006 (Carr),1995-'07 (Carr),"71 (#75 OT), #112 MW",6'7/283,2010,Perry Dorrestein,Not Drafted,Not Drafted,3* (#81 OL),Former players,Former players,Offense,"5.5 (#43 OT), #11 IL",True,OT,45,3.5
T,"0.8403 (#121 OT), not ranked","81 (#160 OT), not ranked",Played out eligibility,2015 (Harbaugh),2015-> (Harbaugh),"76 (#96 OT), #119 East",6'5/276,2019,Jon Runyan Jr.,2nd Day (Rnd 4-7),6th,3* (#39 OG),Former players,Former players,Offense,"5.6 (#45 OG), #15 PA",True,OT,46,3.45
T,"0.8343 (#136 OT), not ranked","84 (#127 OT), not ranked",Degree and a Transfer,2015 (Harbaugh),2015-> (Harbaugh),"78 (#68 OT), #60 MW",6'5/280,2018,Nolan Ulizio,Not Drafted,Not Drafted,3* (#42 OT),Former players,Former players,Offense,5.3 (#NR OT),True,OT,47,3.43
T,"0.8333 (#45 OG), #586 OVR",-,Degree and a Handshake,2004 (Carr),1995-'07 (Carr),"Lemming: #NR OL, #200 SE",6'5/270,2007,Grant DeBenedictis,Not Drafted,Not Drafted,3* (#87 OL),Former players,Former players,Offense,5.5 (#32 OG),True,OT,48,3.38
T,"0.8333 (#61 OT), #736 OVR",-,Played out eligibility,2005 (Carr),1995-'07 (Carr),-,6'7/270,2009,Mark Ortmann,Not Drafted,Not Drafted,3* (NR OL),Former players,Former players,Offense,"5.5 (#43 OT), #90 TX",True,OT,49,3.37
T,"0.8 (#57 OG), #733 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),Lemming: #22 G/C,6'4/290,2006,Rueben Riley,Not Drafted,Not Drafted,not rated,Former players,Former players,Offense,"5.5 (#32 OG), #10 MI",True,OT,50,3.25
T,"0.834 (#77 OT), #825 OVR",-,Played out eligibility,2007 (Carr),1995-'07 (Carr),"63 (#151 OT), #NR MW",6'6/280,2011,Mark Huyge,Not Drafted,Not Drafted,2* (#31 OC),Former players,Former players,Offense,"5.6 (#65 OT), #19 MI",True,OT,51,3.19
T,"0.7798 (#133 OG), #NR OVR","78 (#118 OG), #43 WA",Degree and a Handshake,2018 (Harbaugh),2015-> (Harbaugh),walk-on,6'6/305,On Team,Griffin Korican,Still in College,2024,-,Current players,Current players,Offense,walk-on,True,OT,52,2.76
